age,height,edu,fit,race_ethnicity,height_group,cluster
33,68,More than High School,fit,Asian,short,1
25,74,More than High School,fit,White,not_short,2
35,74,More than High School,not_fit,White,not_short,2
26,70,unknown,fit,White,not_short,2
26,73,High School or less,fit,Latinx,not_short,2
22,72,High School or less,fit,White,not_short,2
27,70,More than High School,fit,White,not_short,2
35,70,unknown,fit,White,not_short,2
40,71,More than High School,fit,White,not_short,2
31,72,More than High School,fit,White,not_short,2
27,74,More than High School,fit,White,not_short,2
56,71,More than High School,not_fit,White,not_short,2
21,74,High School or less,fit,White,not_short,2
43,72,More than High School,not_fit,White,not_short,2
27,70,More than High School,not_fit,White,not_short,2
23,66,High School or less,not_fit,White,short,1
19,69,High School or less,not_fit,Asian,short,1
28,70,High School or less,fit,White,not_short,2
44,76,More than High School,not_fit,White,not_short,2
28,72,High School or less,not_fit,Black,not_short,2
24,69,More than High School,fit,White,short,1
37,68,More than High School,fit,Asian,short,1
27,70,High School or less,not_fit,White,not_short,2
39,74,More than High School,fit,White,not_short,2
36,65,High School or less,not_fit,White,short,1
29,70,More than High School,fit,White,not_short,2
29,68,High School or less,fit,Asian,short,1
25,65,More than High School,not_fit,multiple,short,1
38,67,More than High School,fit,White,short,1
44,70,More than High School,fit,White,not_short,2
38,67,More than High School,fit,White,short,1
59,72,More than High School,not_fit,White,not_short,2
23,71,High School or less,fit,White,not_short,2
22,72,High School or less,not_fit,White,not_short,2
33,74,High School or less,not_fit,White,not_short,2
44,72,More than High School,not_fit,White,not_short,2
26,71,More than High School,not_fit,White,not_short,2
31,71,More than High School,fit,White,not_short,2
22,68,High School or less,fit,other,short,1
44,69,unknown,fit,White,short,1
24,65,More than High School,fit,White,short,1
31,70,More than High School,fit,White,not_short,2
32,75,More than High School,fit,White,not_short,2
38,68,More than High School,fit,White,short,1
26,71,More than High School,fit,White,not_short,2
20,72,High School or less,not_fit,Black,not_short,2
29,68,More than High School,fit,White,short,1
48,69,More than High School,not_fit,White,short,1
65,74,More than High School,not_fit,White,not_short,2
22,69,High School or less,fit,Latinx,short,1
26,68,More than High School,not_fit,Asian,short,1
48,67,More than High School,not_fit,Asian,short,1
31,70,More than High School,not_fit,White,not_short,2
30,76,unknown,not_fit,other,not_short,2
30,70,More than High School,not_fit,White,not_short,2
31,70,More than High School,not_fit,White,not_short,2
19,71,High School or less,fit,White,not_short,2
30,72,More than High School,fit,multiple,not_short,2
22,69,High School or less,fit,multiple,short,1
25,69,More than High School,not_fit,White,short,1
32,68,More than High School,not_fit,White,short,1
28,66,More than High School,fit,White,short,1
